product_id,vendor_id,market_date,customer_id,quantity,cost_to_customer_per_qty,transaction_time
1,7,2019-07-03,14,0.99,6.99,17:32:00
1,7,2019-07-03,14,2.18,6.99,18:23:00
1,7,2019-07-03,15,1.53,6.99,18:41:00
1,7,2019-07-03,16,2.02,6.99,18:18:00
1,7,2019-07-03,22,0.66,6.99,17:34:00
1,7,2019-07-06,4,0.27,6.99,12:20:00
1,7,2019-07-06,12,3.6,6.99,9:33:00
1,7,2019-07-06,14,3.04,6.99,13:05:00
1,7,2019-07-06,23,1.49,6.99,12:26:00
1,7,2019-07-06,23,2.56,6.99,12:46:00
1,7,2019-07-10,3,2.48,6.99,18:40:00
1,7,2019-07-10,4,2.13,6.99,18:06:00
1,7,2019-07-10,8,2.71,6.99,18:35:00
1,7,2019-07-10,23,3.61,6.99,18:56:00
1,7,2019-07-13,2,4.24,6.99,9:02:00
1,7,2019-07-13,5,0.71,6.99,13:43:00
1,7,2019-07-13,10,2.34,6.99,10:21:00
1,7,2019-07-13,10,2.28,6.99,10:29:00
1,7,2019-07-13,24,0.65,6.99,12:52:00
1,7,2019-07-17,4,3.03,6.99,18:44:00
1,7,2019-07-17,5,4.11,6.99,16:30:00
1,7,2019-07-20,1,2.09,6.99,12:48:00
1,7,2019-07-20,1,4.93,6.99,13:00:00
1,7,2019-07-20,15,0.02,6.99,12:04:00
1,7,2019-07-20,21,2,6.99,11:33:00
1,7,2019-07-24,14,0.39,6.99,17:16:00
1,7,2019-07-24,19,2.74,6.99,17:30:00
1,7,2019-07-27,13,1.15,6.99,9:08:00
1,7,2019-07-27,17,1.55,6.99,13:58:00
1,7,2019-07-27,24,3.04,6.99,9:37:00
1,7,2019-07-31,3,2.64,6.99,18:36:00
1,7,2019-07-31,8,3.83,6.99,18:34:00
1,7,2019-07-31,19,3.69,6.99,18:11:00
1,7,2019-07-31,22,1.07,6.99,18:04:00
1,7,2019-08-03,4,0.08,6.99,12:12:00
1,7,2019-08-03,13,0.05,6.99,13:37:00
1,7,2019-08-03,13,2.36,6.99,13:46:00
1,7,2019-08-07,13,0.31,6.99,18:38:00
1,7,2019-08-07,24,4.65,6.99,18:30:00
1,7,2019-08-10,2,0.32,6.99,8:26:00
1,7,2019-08-10,2,1.29,6.99,9:29:00
1,7,2019-08-10,12,4.09,6.99,8:39:00
1,7,2019-08-10,23,4.57,6.99,13:20:00
1,7,2019-08-10,23,0.46,6.99,13:39:00
1,7,2019-08-14,5,2.35,6.99,17:32:00
1,7,2019-08-14,8,3.57,6.99,18:04:00
1,7,2019-08-14,11,1.5,6.99,17:06:00
1,7,2019-08-14,25,3.21,6.99,18:46:00
1,7,2019-08-21,11,1.59,6.99,18:18:00
1,7,2019-08-24,10,1.67,6.99,8:35:00
1,7,2019-08-24,15,1.19,6.99,8:47:00
1,7,2019-08-24,16,4.48,6.99,11:00:00
1,7,2019-08-28,2,1.07,6.99,18:56:00
1,7,2019-08-28,9,3.68,6.99,18:28:00
1,7,2019-08-31,5,2.4,6.99,10:00:00
1,7,2019-08-31,10,0.14,6.99,9:57:00
1,7,2019-08-31,22,4.86,6.99,9:12:00
1,7,2019-09-04,4,2.28,6.99,18:33:00
1,7,2019-09-04,9,2.18,6.99,16:30:00
1,7,2019-09-04,20,5.67,6.99,17:57:00
1,7,2019-09-07,8,0.94,6.99,13:33:00
1,7,2019-09-07,12,2.04,6.99,8:35:00
1,7,2019-09-07,12,0.99,6.99,8:49:00
1,7,2019-09-07,14,0.03,6.99,9:09:00
1,7,2019-09-07,19,3.09,6.99,11:57:00
1,7,2019-09-11,4,2.25,6.99,18:37:00
1,7,2019-09-11,7,1.54,6.99,17:37:00
1,7,2019-09-11,18,2.89,6.99,17:52:00
1,7,2019-09-11,25,2.16,6.99,17:21:00
1,7,2019-09-14,2,4.14,6.99,13:49:00
1,7,2019-09-14,6,2.94,6.99,13:42:00
1,7,2019-09-18,11,2.34,6.99,18:41:00
